run,field,value,source,explicit,tensor_shape,gate_report,name_hint,conflict
M4_K64_res84,M,4,EXPLICIT_METADATA,4,4,4,4,False
M4_K64_res84,K,64,EXPLICIT_METADATA,64,64,64,64,False
M4_K64_res84,res,84,EXPLICIT_METADATA,84,84,84,84,False
M4_K64_res84,patch,12,EXPLICIT_METADATA,12,12,12,,False
M8_K128_res84,M,8,EXPLICIT_METADATA,8,8,8,8,False
M8_K128_res84,K,128,EXPLICIT_METADATA,128,128,128,128,False
M8_K128_res84,res,84,EXPLICIT_METADATA,84,84,84,84,False
M8_K128_res84,patch,12,EXPLICIT_METADATA,12,12,12,,False
M4_K64_res128,M,4,EXPLICIT_METADATA,4,4,4,4,False
M4_K64_res128,K,64,EXPLICIT_METADATA,64,64,64,64,False
M4_K64_res128,res,128,EXPLICIT_METADATA,128,128,128,128,False
M4_K64_res128,patch,16,EXPLICIT_METADATA,16,16,16,,False
